OBJECTID,Asset ID,Suburb,Street,Parking restriction Sign Type,Sign Category,Sign Status,Sign owner,BCC Code For Signs,Sign Direction,Sign is Temporary,Related Signs,Multi-sign Plate,Additional Sign Text,ParkingRestrictionDaysandTimes,SAP Object Number,SAP ID Number,Parking Restriction Code,GlobalID,geo_shape,geo_point_2d,Suburb_List,Latitude,Longitude,Parking_Restriction_Type
21712,SN-10-1000-1220055,FORTITUDE VALLEY,ALFRED STREET,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45L,Left,0,1,1,"2 MIN MAX,20 MINS MAX",,000000000100332882,IE000000000100332882,45,22266ba3-7d0a-4a70-b015-9ff3f84cdb96,"{""coordinates"": [153.03265441038607, -27.456296985807935], ""type"": ""Point""}","-27.456296985807935, 153.03265441038607","F, FORTITUDE VALLEY",-27.456296985807935,153.03265441038607,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
21739,SN-20-2000-2494579,COOPERS PLAINS,BEATON STREET,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43ZJD,Bi-Directional,0,1,0,2 MIN MAX,DAILY:8 AM-5:30 PM,000000000100443799,IE000000000100443799,43,c766bac1-06d5-491f-ba37-201c2599e6b8,"{""coordinates"": [153.03639423048182, -27.568040205504285], ""type"": ""Point""}","-27.568040205504285, 153.03639423048182","C, COOPERS PLAINS",-27.568040205504285,153.03639423048182,Loading Zone Passengers 2 Min. Max
21754,SN-10-1000-1259015,WISHART,BELLOT STREET,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43ZYR,Right,0,1,0,2 MIN MAX,":8am-9am ,SCHOOLDAYS:2:30pm-3:30pm",000000000100328801,IE000000000100328801,43,cd3dcc0c-50b0-45af-bb08-f87ac47f870c,"{""coordinates"": [153.0919418700649, -27.55141557756719], ""type"": ""Point""}","-27.55141557756719, 153.0919418700649","W, WISHART",-27.55141557756719,153.0919418700649,Loading Zone Passengers 2 Min. Max
21784,SN-10-1000-1199017,CHERMSIDE WEST,HAMILTON ROAD,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43ZYL,Left,0,1,0,2 MIN MAX,":8am-9am ,SCHOOLDAYS:2:30pm-3:30pm",000000000100331536,IE000000000100331536,43,6a3d6997-4ea2-45e9-b8f4-d81757fc8b81,"{""coordinates"": [153.01739296334034, -27.383977273172626], ""type"": ""Point""}","-27.383977273172626, 153.01739296334034","C, CHERMSIDE WEST",-27.383977273172626,153.01739296334034,Loading Zone Passengers 2 Min. Max
21807,SN-20-2000-2402375,ANNERLEY,SAINT KILDA PLACE,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45R,Right,0,1,0,"2 MIN MAX,20 MINS MAX",,000000000100432245,IE000000000100432245,45,e1dea79c-72bd-4e4b-8938-9ba3f3537864,"{""coordinates"": [153.034823873735, -27.502778764594964], ""type"": ""Point""}","-27.502778764594964, 153.034823873735","A, ANNERLEY",-27.502778764594964,153.034823873735,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
21812,SN-10-1000-1150938,NEWSTEAD,CHESTER STREET,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45R,Right,0,1,1,"2 MIN MAX,20 MINS MAX",,000000000100333639,IE000000000100333639,45,3ba80737-ffb1-417d-bd7a-994f00cd9045,"{""coordinates"": [153.04080995206854, -27.454303683931396], ""type"": ""Point""}","-27.454303683931396, 153.04080995206854","N, NEWSTEAD",-27.454303683931396,153.04080995206854,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
21815,SN-10-1000-1271388,SHERWOOD,HONOUR AVENUE,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43L,Left,0,1,1,2 MIN MAX,,000000000100333670,IE000000000100333670,43,0a8c8542-d41a-485e-be62-d1fb11217d76,"{""coordinates"": [152.97926536277112, -27.530901438881433], ""type"": ""Point""}","-27.530901438881433, 152.97926536277112","S, SHERWOOD",-27.530901438881433,152.97926536277112,Loading Zone Passengers 2 Min. Max
21879,SN-10-1000-1201970,BULIMBA,OXFORD STREET,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43R,Right,0,1,0,2 MIN MAX,,000000000100332195,IE000000000100332195,43,675ddc10-dceb-4b98-9429-80c45682b33b,"{""coordinates"": [153.05269290598577, -27.450498333251637], ""type"": ""Point""}","-27.450498333251637, 153.05269290598577","B, BULIMBA",-27.450498333251637,153.05269290598577,Loading Zone Passengers 2 Min. Max
21890,SN-20-1000-5001888,SPRING HILL,ROYAL AVENUE,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45QL,Left,0,0,0,,,000000000100462710,IE000000000100462710,45,51cd1357-59a3-403f-9e5c-4c6c36b1f5b1,"{""coordinates"": [153.02639436824245, -27.456632416548224], ""type"": ""Point""}","-27.456632416548224, 153.02639436824245","S, SPRING HILL",-27.456632416548224,153.02639436824245,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
21903,SN-10-1000-1150867,TENERIFFE,MACQUARIE STREET,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45ZR,Right,0,1,0,"2 MIN MAX,20 MINS MAX",":7am-5pm ,MON-FRI:7am-12noon",000000000100329821,IE000000000100329821,45,223560c3-8e27-4fa2-8464-08dc645e09de,"{""coordinates"": [153.05020602806408, -27.461193288261825], ""type"": ""Point""}","-27.461193288261825, 153.05020602806408","T, TENERIFFE",-27.461193288261825,153.05020602806408,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
21964,SN-10-1000-1253585,BRISBANE CITY,QUEEN STREET,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45ZR,Right,0,1,0,"2 MIN MAX,20 MINS MAX","MON-FRI:5am-4pm ,SAT:5am-11am",000000000100326989,IE000000000100326989,45,79b89a1e-4f28-4d08-a8b4-4401f0d60956,"{""coordinates"": [153.03073098836475, -27.465286476302463], ""type"": ""Point""}","-27.465286476302463, 153.03073098836475","B, BRISBANE CITY",-27.465286476302463,153.03073098836475,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
22035,SN-10-1000-1136348,NEW FARM,BARKER STREET,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45R,Right,0,1,1,"2 MIN MAX,20 MINS MAX",,000000000100330771,IE000000000100330771,45,86e1192c-0f8a-48b0-99d7-ac29025bf455,"{""coordinates"": [153.0424003909008, -27.464861035962322], ""type"": ""Point""}","-27.464861035962322, 153.0424003909008","N, NEW FARM",-27.464861035962322,153.0424003909008,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
22052,SN-20-1000-5001024,EAGLE FARM,HARVEY STREET NORTH,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45VL,Left,0,1,0,"2 MIN MAX,20 MINS MAX",,000000000100429628,IE000000000100429628,45,102c3348-29e5-4f95-b3a2-de9658cac81e,"{""coordinates"": [153.09132434224975, -27.43155749014451], ""type"": ""Point""}","-27.43155749014451, 153.09132434224975","E, EAGLE FARM",-27.43155749014451,153.09132434224975,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
22064,SN-10-1000-1219989,FORTITUDE VALLEY,ALFRED STREET,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45L,Left,0,1,1,"2 MIN MAX,20 MINS MAX",,000000000100327741,IE000000000100327741,45,2cdba990-88bc-4f01-ab5d-3d7b2181a2b2,"{""coordinates"": [153.03188598292576, -27.457125508632842], ""type"": ""Point""}","-27.457125508632842, 153.03188598292576","F, FORTITUDE VALLEY",-27.457125508632842,153.03188598292576,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
22070,SN-10-1000-1278980,CHERMSIDE WEST,HAMILTON ROAD,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43ZYD,Bi-Directional,0,1,0,2 MIN MAX,":8:00AM-9:00AM ,SCHOOLDAYS:2:30PM-3:30PM",000000000100331050,IE000000000100331050,43,5b5c3453-d76b-43fa-bd4e-080ddcc57c7f,"{""coordinates"": [153.01756586116565, -27.38389036778361], ""type"": ""Point""}","-27.38389036778361, 153.01756586116565","C, CHERMSIDE WEST",-27.38389036778361,153.01756586116565,Loading Zone Passengers 2 Min. Max
22078,SN-10-1000-1220027,FORTITUDE VALLEY,ALFRED STREET,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45L,Left,0,1,0,"2 MIN MAX,20 MINS MAX",,000000000100331105,IE000000000100331105,45,2401483e-fa0e-42a3-9e54-f9de91756448,"{""coordinates"": [153.034100934481, -27.454831961503228], ""type"": ""Point""}","-27.454831961503228, 153.034100934481","F, FORTITUDE VALLEY",-27.454831961503228,153.034100934481,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
22107,SN-10-1000-1291702,FOREST LAKE,KAURI PLACE,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43PR,Right,0,1,0,2 MIN MAX,":7am-9am ,MON-FRI:2pm-4pm",000000000100333638,IE000000000100333638,43,0c0c2f35-8681-48f9-ac07-48d3ce435237,"{""coordinates"": [152.95815727685505, -27.613742735512485], ""type"": ""Point""}","-27.613742735512485, 152.95815727685505","F, FOREST LAKE",-27.613742735512485,152.95815727685505,Loading Zone Passengers 2 Min. Max
22125,SN-10-1000-1284885,NEWMARKET,BANKS STREET,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43ZYR,Right,0,1,0,2 MIN MAX,":8am-9am ,SCHOOLDAYS:2:30pm-3:30pm",000000000100331477,IE000000000100331477,43,28fe7422-605c-45fe-a91f-f1b9fa9e44c0,"{""coordinates"": [153.0032555792342, -27.432492111864644], ""type"": ""Point""}","-27.432492111864644, 153.0032555792342","N, NEWMARKET",-27.432492111864644,153.0032555792342,Loading Zone Passengers 2 Min. Max
22152,SN-10-1000-1166136,KANGAROO POINT,LEOPARD STREET,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43PYR,Right,0,1,1,2 MIN MAX,":7am-9am ,SCHOOLDAYS:2pm-4pm",000000000100328323,IE000000000100328323,43,7edd4a8a-039f-46a0-a2bc-e2188c2d2b07,"{""coordinates"": [153.03290465797107, -27.482779038020873], ""type"": ""Point""}","-27.482779038020873, 153.03290465797107","K, KANGAROO POINT",-27.482779038020873,153.03290465797107,Loading Zone Passengers 2 Min. Max
22167,SN-10-1000-1235343,HOLLAND PARK,ABBOTSLEIGH STREET,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43PYD,Bi-Directional,0,1,0,2 MIN MAX,":7am-9am ,SCHOOLDAYS:2pm-4pm",000000000100333995,IE000000000100333995,43,c872c84f-c59e-41f2-a3a7-ece7278bfc4c,"{""coordinates"": [153.0614695969571, -27.513268575858092], ""type"": ""Point""}","-27.513268575858092, 153.0614695969571","H, HOLLAND PARK",-27.513268575858092,153.0614695969571,Loading Zone Passengers 2 Min. Max
22190,SN-10-1000-1280766,GUMDALE,NEW CLEVELAND ROAD,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43CL,Left,0,1,1,2 MIN MAX,MON-FRI:7am-4pm,000000000100328568,IE000000000100328568,43,12099129-a6cb-48ef-b4fa-72ededd7a97f,"{""coordinates"": [153.15052258404904, -27.49054073204549], ""type"": ""Point""}","-27.49054073204549, 153.15052258404904","G, GUMDALE",-27.49054073204549,153.15052258404904,Loading Zone Passengers 2 Min. Max
22200,SN-10-1000-1186776,BRISBANE CITY,BOUNDARY STREET,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45L,Left,0,1,0,"2 MIN MAX,20 MINS MAX",,000000000100332073,IE000000000100332073,45,a97e4e32-3694-4b25-834f-e78a2c6806a0,"{""coordinates"": [153.03396303092936, -27.462324707079915], ""type"": ""Point""}","-27.462324707079915, 153.03396303092936","B, BRISBANE CITY",-27.462324707079915,153.03396303092936,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
22212,SN-10-1000-1311885,BRISBANE CITY,HOWARD STREET,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43R,Right,0,1,0,2 MIN MAX,,000000000100332178,IE000000000100332178,43,f9688932-92ee-4501-a6b5-c5857a64823d,"{""coordinates"": [153.0319268195449, -27.463597287764127], ""type"": ""Point""}","-27.463597287764127, 153.0319268195449","B, BRISBANE CITY",-27.463597287764127,153.0319268195449,Loading Zone Passengers 2 Min. Max
22224,SN-10-1000-1249017,WILSTON,LOVEDALE STREET,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43ZL,Left,0,1,0,2 MIN MAX,MON-FRI:8am-5:30pm,000000000100332268,IE000000000100332268,43,0af4e259-fb03-460c-9a4e-98096d8a4461,"{""coordinates"": [153.017686560822, -27.42982799623557], ""type"": ""Point""}","-27.42982799623557, 153.017686560822","W, WILSTON",-27.42982799623557,153.017686560822,Loading Zone Passengers 2 Min. Max
22225,SN-10-1000-1215673,INDOOROOPILLY,LAMBERT ROAD,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43Z2R,Right,0,1,1,2 MIN MAX,":7am-9am ,MON-SAT:5-7pm",000000000100326760,IE000000000100326760,43,2dcd29e5-2382-4814-9665-d4f1c3269034,"{""coordinates"": [152.97632389409506, -27.503364844160714], ""type"": ""Point""}","-27.503364844160714, 152.97632389409506","I, INDOOROOPILLY",-27.503364844160714,152.97632389409506,Loading Zone Passengers 2 Min. Max
22230,SN-10-1000-1305795,BRISBANE CITY,NORTH QUAY,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45AR,Right,0,1,1,"2 MIN MAX,20 MINS MAX",ALL OTHER TIMES:-,000000000100332311,IE000000000100332311,45,e5948a9e-ca28-4475-a075-8727426ca80b,"{""coordinates"": [153.01587760477975, -27.467180407745754], ""type"": ""Point""}","-27.467180407745754, 153.01587760477975","B, BRISBANE CITY",-27.467180407745754,153.01587760477975,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
22247,SN-10-1000-1258655,SOUTH BRISBANE,CORDELIA STREET,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45FR,Right,0,1,0,"2 MIN MAX,20 MINS MAX","MON-FRI:9:00AM-4:00PM ,SAT:8:00AM-12:00PM",000000000100326924,IE000000000100326924,45,10d5cd70-c7ac-4465-ae74-3d6f0028f679,"{""coordinates"": [153.01771482201605, -27.478658643916287], ""type"": ""Point""}","-27.478658643916287, 153.01771482201605","S, SOUTH BRISBANE",-27.478658643916287,153.01771482201605,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
22254,SN-20-2000-2588465,KEDRON,SOMERSET ROAD,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43PYL,Left,0,1,1,2 MIN MAX,"null:7 AM-9 AM ,SCHOOL DAYS:2 PM-4 PM",000000000100444091,IE000000000100444091,43,75b49f16-dc5c-4c92-a97b-3e673d2b4d31,"{""coordinates"": [153.0262264488456, -27.407419021959296], ""type"": ""Point""}","-27.407419021959296, 153.0262264488456","K, KEDRON",-27.407419021959296,153.0262264488456,Loading Zone Passengers 2 Min. Max
22289,SN-10-1000-1162666,SOUTH BRISBANE,EDMONDSTONE STREET,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45R,Right,0,1,1,"2 MIN MAX,20 MINS MAX",,000000000100329244,IE000000000100329244,45,dcf8b70c-f7a8-488f-a9d4-d1dd459b0726,"{""coordinates"": [153.0141198305192, -27.47746970899889], ""type"": ""Point""}","-27.47746970899889, 153.0141198305192","S, SOUTH BRISBANE",-27.47746970899889,153.0141198305192,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
22321,SN-10-1000-1183493,BRISBANE CITY,MARY STREET,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45R,Right,0,1,0,"2 MIN MAX,20 MINS MAX",,000000000100327441,IE000000000100327441,45,1ec982d7-2f06-4e28-b043-d72799e60287,"{""coordinates"": [153.02797135875738, -27.47162443838625], ""type"": ""Point""}","-27.47162443838625, 153.02797135875738","B, BRISBANE CITY",-27.47162443838625,153.02797135875738,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
22378,SN-10-1000-1232256,CAMP HILL,STEPHEN STREET,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43Z2YR,Right,0,1,1,2 MIN MAX,":8am-9am ,SCHOOLDAYS:2:30pm-3:30pm",000000000100333345,IE000000000100333345,43,197e4c65-3878-4d39-b606-9e491267722a,"{""coordinates"": [153.07201810423368, -27.48722177327926], ""type"": ""Point""}","-27.48722177327926, 153.07201810423368","C, CAMP HILL",-27.48722177327926,153.07201810423368,Loading Zone Passengers 2 Min. Max
22399,SN-10-1000-1294525,TARINGA,MOGGILL ROAD,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45R,Right,0,1,0,"2 MIN MAX,20 MINS MAX",,000000000100330073,IE000000000100330073,45,531c348b-5281-4d15-9ed9-7723d9ec8683,"{""coordinates"": [152.9803766278928, -27.49229785169379], ""type"": ""Point""}","-27.49229785169379, 152.9803766278928","T, TARINGA",-27.49229785169379,152.9803766278928,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
22413,SN-10-1000-1589835,WISHART,COLWYN STREET,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43ZYL,Left,0,1,0,2 MIN MAX,":8:00AM-9:00AM ,SCHOOL DAYS:2:30PM-3:30PM",000000000100443925,IE000000000100443925,43,8f4a458b-d362-4d2c-b31c-aafec572e86b,"{""coordinates"": [153.09611350247857, -27.54962744727823], ""type"": ""Point""}","-27.54962744727823, 153.09611350247857","W, WISHART",-27.54962744727823,153.09611350247857,Loading Zone Passengers 2 Min. Max
22472,SN-10-1000-1233457,NEW FARM,BRUNSWICK STREET,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45Z1R,Right,0,1,1,"2 MIN MAX,20 MINS MAX",MON-FRI:6:00AM-10:00AM,000000000100328523,IE000000000100328523,45,fad1a64f-ee0f-4285-a0aa-9f1b81ca546b,"{""coordinates"": [153.04218088224604, -27.464020057293297], ""type"": ""Point""}","-27.464020057293297, 153.04218088224604","N, NEW FARM",-27.464020057293297,153.04218088224604,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
22492,SN-10-1000-1178017,SOUTH BRISBANE,GREY STREET,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45TJL,Left,0,1,1,"2 MIN MAX,20 MINS MAX",DAILY:7am-7pm,000000000100326478,IE000000000100326478,45,c25623f2-aa14-4d28-be8b-fb36e1f31ec9,"{""coordinates"": [153.0227733465259, -27.480545716052674], ""type"": ""Point""}","-27.480545716052674, 153.0227733465259","S, SOUTH BRISBANE",-27.480545716052674,153.0227733465259,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
22523,SN-10-1000-1131069,SPRING HILL,ASTOR TERRACE,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43L,Left,0,1,1,2 MINS MAX,,000000000100327101,IE000000000100327101,43,ad4f346f-2326-4132-875a-70ce813c21d5,"{""coordinates"": [153.02593678820406, -27.463440633300618], ""type"": ""Point""}","-27.463440633300618, 153.02593678820406","S, SPRING HILL",-27.463440633300618,153.02593678820406,Loading Zone Passengers 2 Min. Max
22534,SN-10-1000-1220553,CLAYFIELD,BAYVIEW TERRACE,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43PYL,Left,0,1,1,2 MIN MAX,":7am-9am ,SCHOOLDAYS:2pm-4pm",000000000100327326,IE000000000100327326,43,1f8e07cb-919a-4d7d-b99e-61f008188b93,"{""coordinates"": [153.05277347090419, -27.41934868307556], ""type"": ""Point""}","-27.41934868307556, 153.05277347090419","C, CLAYFIELD",-27.41934868307556,153.05277347090419,Loading Zone Passengers 2 Min. Max
22544,SN-30-1000-3620035,WYNNUM,BAY TERRACE,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45NNL,Left,0,1,1,,,000000000100466827,IE000000000100466827,45,aacf9de5-8564-48d5-a392-7118171b8829,"{""coordinates"": [153.17344975860377, -27.44339339127663], ""type"": ""Point""}","-27.44339339127663, 153.17344975860377","W, WYNNUM",-27.44339339127663,153.17344975860377,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
22563,SN-10-1000-1219293,BOWEN HILLS,KING STREET,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43R,Right,0,1,1,2 MIN MAX,,000000000100327887,IE000000000100327887,43,299baa41-a7c2-4770-a35c-df78e0bc7c1c,"{""coordinates"": [153.0325280836992, -27.45153212859331], ""type"": ""Point""}","-27.45153212859331, 153.0325280836992","B, BOWEN HILLS",-27.45153212859331,153.0325280836992,Loading Zone Passengers 2 Min. Max
22565,SN-10-1000-1214379,KENMORE,KERSLEY ROAD,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43PYL,Left,0,1,0,2 MIN MAX,":7am-9am ,SCHOOLDAYS:2pm-4pm",000000000100327920,IE000000000100327920,43,90d4f97e-4c10-4a41-96e8-413dc0438b7e,"{""coordinates"": [152.94360345095606, -27.51907400014887], ""type"": ""Point""}","-27.51907400014887, 152.94360345095606","K, KENMORE",-27.51907400014887,152.94360345095606,Loading Zone Passengers 2 Min. Max
22572,SN-10-1000-1237367,YERONGA,VILLA STREET,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43ZR,Right,0,1,0,2 MIN MAX,MON-FRI:8am-5:30pm,000000000100328086,IE000000000100328086,43,b5407e0a-e2e2-403f-ac32-d1b13a443c1b,"{""coordinates"": [153.0204608726577, -27.517402132696432], ""type"": ""Point""}","-27.517402132696432, 153.0204608726577","Y, YERONGA",-27.517402132696432,153.0204608726577,Loading Zone Passengers 2 Min. Max
22606,SN-10-1000-1264348,BRIGHTON,GREENWOOD STREET,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43PYD,Bi-Directional,0,1,0,2 MIN MAX,":7am-9am ,SCHOOLDAYS:2pm-4pm",000000000100336308,IE000000000100336308,43,a9d9c07e-7a7f-4180-841a-4ac479a12d4a,"{""coordinates"": [153.0550549135648, -27.293514625523603], ""type"": ""Point""}","-27.293514625523603, 153.0550549135648","B, BRIGHTON",-27.293514625523603,153.0550549135648,Loading Zone Passengers 2 Min. Max
22615,SN-10-1000-1287900,MIDDLE PARK,MACFARLANE STREET,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43ZYD,Bi-Directional,0,1,0,2 MIN MAX,":8:00AM-9:00AM ,SCHOOLDAYS:2:30PM-3:30PM",000000000100328967,IE000000000100328967,43,db55ec61-185c-4cb0-8d83-af4a5e9244a0,"{""coordinates"": [152.91723101578427, -27.558939509636314], ""type"": ""Point""}","-27.558939509636314, 152.91723101578427","M, MIDDLE PARK",-27.558939509636314,152.91723101578427,Loading Zone Passengers 2 Min. Max
22629,SN-10-1000-1215910,INDOOROOPILLY,HARTS ROAD,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43PYD,Bi-Directional,0,1,0,2 MIN MAX,":7am-9am ,SCHOOLDAYS:2pm-4pm",000000000100329251,IE000000000100329251,43,8a5f2702-f1fa-415c-8daf-fc965ec68b7d,"{""coordinates"": [152.98336076002218, -27.506688662397295], ""type"": ""Point""}","-27.506688662397295, 152.98336076002218","I, INDOOROOPILLY",-27.506688662397295,152.98336076002218,Loading Zone Passengers 2 Min. Max
22640,SN-10-1000-1150039,NEWSTEAD,AUSTIN STREET,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45XL,Left,0,1,0,"2 MIN MAX,20 MINS MAX","MON-FRI:7am-6pm ,SAT:7am-12noon",000000000100329461,IE000000000100329461,45,e3f166a3-4b42-401d-8b80-38d3280d1fd2,"{""coordinates"": [153.0429618843892, -27.44579221905635], ""type"": ""Point""}","-27.44579221905635, 153.0429618843892","N, NEWSTEAD",-27.44579221905635,153.0429618843892,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
22641,SN-20-2000-2414584,CAMP HILL,FERGUSON ROAD,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43PYR,Right,0,1,0,2 MIN MAX,":7:00AM-9:00AM ,SCHOOL DAYS:2:00PM-4:00PM",000000000100431404,IE000000000100431404,43,e2e3035d-e543-469f-9466-5252e9482b02,"{""coordinates"": [153.07990978598744, -27.492706637679095], ""type"": ""Point""}","-27.492706637679095, 153.07990978598744","C, CAMP HILL",-27.492706637679095,153.07990978598744,Loading Zone Passengers 2 Min. Max
22660,SN-10-1000-1280913,MITCHELTON,SUEZ STREET,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43ZYR,Right,0,1,1,2 MIN MAX,SCHOOLDAYS:3-3:30pm,000000000100329887,IE000000000100329887,43,d1f87d0e-679c-4202-8107-f6ffa9458e79,"{""coordinates"": [152.97570698054247, -27.41448838979936], ""type"": ""Point""}","-27.41448838979936, 152.97570698054247","M, MITCHELTON",-27.41448838979936,152.97570698054247,Loading Zone Passengers 2 Min. Max
22663,SN-10-1000-1237383,YERONGA,VILLA STREET,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43PR,Right,0,1,1,2 MIN MAX,":7am-9am ,SCHOOLDAYS:2pm-4pm",000000000100329965,IE000000000100329965,43,7731a9fc-5427-4a0e-8101-be83db03a3ec,"{""coordinates"": [153.02319125782074, -27.51746299214634], ""type"": ""Point""}","-27.51746299214634, 153.02319125782074","Y, YERONGA",-27.51746299214634,153.02319125782074,Loading Zone Passengers 2 Min. Max
22710,SN-10-1000-1287964,MIDDLE PARK,MACFARLANE STREET,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43ZYD,Bi-Directional,0,1,1,2 MIN MAX,":8am-9am ,SCHOOLDAYS:2:30pm-3:30pm",000000000100330963,IE000000000100330963,43,b9543779-b0d7-4f29-905a-411a8da3e20e,"{""coordinates"": [152.91709931448463, -27.55965498174898], ""type"": ""Point""}","-27.55965498174898, 152.91709931448463","M, MIDDLE PARK",-27.55965498174898,152.91709931448463,Loading Zone Passengers 2 Min. Max
